RESP_DATE,GEOID10,DRRALL,DRRINT,CRRALL,CRRINT,county,tract,state,GEO_ID,UID
4/6/20 0:00,48491021300,0.8,0.8,25.3,24.7,Williamson,213,Texas,1400000US48491021300,2020040648491021300
4/6/20 0:00,48491021405,1,1,43.5,43.2,Williamson,214.05,Texas,1400000US48491021405,2020040648491021405
4/6/20 0:00,48491021502,0.5,0.5,40,39.6,Williamson,215.02,Texas,1400000US48491021502,2020040648491021502
4/6/20 0:00,48491021506,1.1,1.1,52.9,52.7,Williamson,215.06,Texas,1400000US48491021506,2020040648491021506
4/6/20 0:00,48491021511,0.9,0.9,48.9,48.6,Williamson,215.11,Texas,1400000US48491021511,2020040648491021511
4/6/20 0:00,48491021514,0.9,0.9,31.3,31.2,Williamson,215.14,Texas,1400000US48491021514,2020040648491021514
4/6/20 0:00,48491021516,0.6,0.6,45.6,44.8,Williamson,215.16,Texas,1400000US48491021516,2020040648491021516
4/6/20 0:00,48491021601,1,1,42,41.7,Williamson,216.01,Texas,1400000US48491021601,2020040648491021601
4/6/20 0:00,48453000204,0.9,0.9,50.2,50.2,Travis,2.04,Texas,1400000US48453000204,2020040648453000204
4/6/20 0:00,48453002315,0.4,0.4,30.3,30,Travis,23.15,Texas,1400000US48453002315,2020040648453002315
4/6/20 0:00,48453002450,0.6,0.6,26.2,25.5,Travis,24.5,Texas,1400000US48453002450,2020040648453002450
4/6/20 0:00,48453042500,1.1,1.1,49.9,49.7,Travis,425,Texas,1400000US48453042500,2020040648453042500
4/6/20 0:00,48491020327,0.9,0.9,47.7,47.5,Williamson,203.27,Texas,1400000US48491020327,2020040648491020327
4/6/20 0:00,48491020709,0.8,0.8,40.2,39.9,Williamson,207.09,Texas,1400000US48491020709,2020040648491020709
4/6/20 0:00,48453002447,0.3,0.3,39.9,39.8,Travis,24.47,Texas,1400000US48453002447,2020040648453002447
4/6/20 0:00,48453041500,0.9,0.9,43.5,43.2,Travis,415,Texas,1400000US48453041500,2020040648453041500
4/6/20 0:00,48491020337,1.9,1.9,50.5,50.5,Williamson,203.37,Texas,1400000US48491020337,2020040648491020337
4/6/20 0:00,48491020815,0.9,0.9,67.8,67.6,Williamson,208.15,Texas,1400000US48491020815,2020040648491020815
4/6/20 0:00,48021950101,0.6,0.6,35,34.5,Bastrop,9501.01,Texas,1400000US48021950101,2020040648021950101
4/6/20 0:00,48021950201,0.5,0.5,34.7,33.7,Bastrop,9502.01,Texas,1400000US48021950201,2020040648021950201
4/6/20 0:00,48021950202,0.4,0.4,43.2,42.7,Bastrop,9502.02,Texas,1400000US48021950202,2020040648021950202
4/6/20 0:00,48021950302,0.7,0.7,37.1,36.8,Bastrop,9503.02,Texas,1400000US48021950302,2020040648021950302
4/6/20 0:00,48021950303,0.7,0.7,35.3,34.9,Bastrop,9503.03,Texas,1400000US48021950303,2020040648021950303
4/6/20 0:00,48021950402,0.8,0.8,53.3,53.2,Bastrop,9504.02,Texas,1400000US48021950402,2020040648021950402
4/6/20 0:00,48021950403,0.7,0.7,47.8,47.7,Bastrop,9504.03,Texas,1400000US48021950403,2020040648021950403
4/6/20 0:00,48021950504,0.7,0.7,38.6,38.3,Bastrop,9505.04,Texas,1400000US48021950504,2020040648021950504
4/6/20 0:00,48021950506,0.8,0.8,32.7,31.7,Bastrop,9505.06,Texas,1400000US48021950506,2020040648021950506
4/6/20 0:00,48021950601,0.3,0.2,35.3,17.1,Bastrop,9506.01,Texas,1400000US48021950601,2020040648021950601
4/6/20 0:00,48021950700,0.5,0.5,40.1,39.5,Bastrop,9507,Texas,1400000US48021950700,2020040648021950700
4/6/20 0:00,48021950803,0.6,0.6,21.9,21.1,Bastrop,9508.03,Texas,1400000US48021950803,2020040648021950803
4/6/20 0:00,48021950805,0.6,0.4,26.6,16.2,Bastrop,9508.05,Texas,1400000US48021950805,2020040648021950805
4/6/20 0:00,48021950806,0.4,0.2,33.5,16.1,Bastrop,9508.06,Texas,1400000US48021950806,2020040648021950806
4/6/20 0:00,48055960102,0.6,0.5,30.8,30.4,Caldwell,9601.02,Texas,1400000US48055960102,2020040648055960102
4/6/20 0:00,48055960103,0.6,0.3,29.7,15.4,Caldwell,9601.03,Texas,1400000US48055960103,2020040648055960103
4/6/20 0:00,48055960200,0.7,0.7,37.9,37,Caldwell,9602,Texas,1400000US48055960200,2020040648055960200
4/6/20 0:00,48055960400,0.8,0.7,35.7,35,Caldwell,9604,Texas,1400000US48055960400,2020040648055960400
4/6/20 0:00,48055960501,1.1,1.1,30.6,30.3,Caldwell,9605.01,Texas,1400000US48055960501,2020040648055960501
4/6/20 0:00,48055960600,0.4,0.4,27.7,27.4,Caldwell,9606,Texas,1400000US48055960600,2020040648055960600
4/6/20 0:00,48055960701,0.5,0.5,25.2,24.6,Caldwell,9607.01,Texas,1400000US48055960701,2020040648055960701
4/6/20 0:00,48209010200,0.8,0.8,23.3,23.3,Hays,102,Texas,1400000US48209010200,2020040648209010200
4/6/20 0:00,48209010302,0.5,0.5,31.3,31.2,Hays,103.02,Texas,1400000US48209010302,2020040648209010302
4/6/20 0:00,48209010306,0.3,0.3,28.6,28.4,Hays,103.06,Texas,1400000US48209010306,2020040648209010306
4/6/20 0:00,48209010307,0.3,0.3,21.9,21.1,Hays,103.07,Texas,1400000US48209010307,2020040648209010307
4/6/20 0:00,48209010309,0.3,0.3,12.5,12.4,Hays,103.09,Texas,1400000US48209010309,2020040648209010309
4/6/20 0:00,48209010401,0.4,0.4,33.3,32.8,Hays,104.01,Texas,1400000US48209010401,2020040648209010401
4/6/20 0:00,48209010500,0.6,0.6,29,28.4,Hays,105,Texas,1400000US48209010500,2020040648209010500
4/6/20 0:00,48209010601,0.7,0.7,35.5,35.3,Hays,106.01,Texas,1400000US48209010601,2020040648209010601
4/6/20 0:00,48209010603,1,1,40.6,40.5,Hays,106.03,Texas,1400000US48209010603,2020040648209010603
4/6/20 0:00,48209010702,0.4,0.4,29.5,29.4,Hays,107.02,Texas,1400000US48209010702,2020040648209010702
4/6/20 0:00,48209010704,0.5,0.5,24,24,Hays,107.04,Texas,1400000US48209010704,2020040648209010704
4/6/20 0:00,48209010806,1.1,1.1,51.8,51.6,Hays,108.06,Texas,1400000US48209010806,2020040648209010806
4/6/20 0:00,48209010809,1.2,1.2,52.1,51.9,Hays,108.09,Texas,1400000US48209010809,2020040648209010809
4/6/20 0:00,48209010810,0.8,0.8,32.7,32.6,Hays,108.1,Texas,1400000US48209010810,2020040648209010810
4/6/20 0:00,48209010812,1,1,38.2,38.1,Hays,108.12,Texas,1400000US48209010812,2020040648209010812
4/6/20 0:00,48209010813,0.4,0.4,19.6,19.5,Hays,108.13,Texas,1400000US48209010813,2020040648209010813
4/6/20 0:00,48209010815,0.8,0.8,58.4,58.1,Hays,108.15,Texas,1400000US48209010815,2020040648209010815
